"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subj_ID","group","value","button_pressed","correct","response","responses","question_order"
"4886.000000000001","<p>In this study, you will be presented with and tested on pairings between objects and scenes.</p><p><b>Content Warning:</b> Please be aware that the images used in this study contain content that may be unpleasant or disturbing, including animal cruelty, bodily injury, death, disasters, drugs, illness, violence, and war. You may exit the study at any point if you wish to do so.</p><p>Press the spacebar to begin.</p>","32","html-keyboard-response","0","4890","0.0-0.0","anr94szkyb","0","","","","","",""
"1357.000000000001","<p>You will be presented with pairs of objects and scenes. Please do your best to remember the pairings.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","1","6250","0.0-1.0","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/broom.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_prisoncell.jpg"" style=""margin:20px"" />","null","html-keyboard-response","2","12255","0.0-2.0-0.0","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/watch.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_peoplegrabbingface.jpg"" style=""margin:20px"" />","null","html-keyboard-response","3","18257","0.0-2.0-0.1","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/rockingchair.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/disaster_fire.jpg"" style=""margin:20px"" />","null","html-keyboard-response","4","24258","0.0-2.0-0.2","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/wheelbarrow.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_limps.JPG"" style=""margin:20px"" />","null","html-keyboard-response","5","30260","0.0-2.0-0.3","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/ladder.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/accident_railroad.jpg"" style=""margin:20px"" />","null","html-keyboard-response","6","36262","0.0-2.0-0.4","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/whitetowel.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/sad_washcloth.jpg"" style=""margin:20px"" />","null","html-keyboard-response","7","42265","0.0-2.0-0.5","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/shoppingcart.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_deaddog.jpg"" style=""margin:20px"" />","null","html-keyboard-response","8","48268","0.0-2.0-0.6","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/gardenhose.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_cow.jpg"" style=""margin:20px"" />","null","html-keyboard-response","9","54270","0.0-2.0-0.7","anr94szkyb","0","","","","","",""
